id,army_usage_id,plan_part_id,start,end,sorting,created_at,updated_at
1,1,,1,9000,,"2015-08-05 15:56:30","2015-11-23 09:39:13"
2,1,27,9000,14000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
3,1,27,14000,19950,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
4,1,27,19950,20050,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
5,1,27,20050,25500,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
6,1,27,25500,50500,,"2015-08-05 15:56:30","2015-09-30 15:13:12"
7,1,27,50500,65600,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
8,1,27,65600,67600,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
9,1,27,67600,70000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
10,1,27,70000,72000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
11,1,27,72000,84000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
12,1,27,84000,86000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
13,1,27,86000,90000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
14,4,27,90000,110000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
15,4,27,110000,112000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
16,4,27,112000,115000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
17,4,27,115000,117600,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
18,4,27,117600,126000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
19,4,27,126000,129000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
20,4,27,129000,130000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
21,4,27,130000,135700,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
22,4,27,135700,137800,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
23,4,27,137800,148500,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
24,2,27,148500,255000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
25,4,27,255000,283500,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
26,4,27,283500,315000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
27,3,27,315000,325000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
28,4,27,325000,405000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
29,4,27,405000,415000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
30,4,27,415000,435000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
31,4,27,435000,495000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
32,1,27,495000,505000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
33,4,27,505000,526500,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
34,2,27,526500,1300000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
