id,frequency_id,allocation_id,application_id,licence_id,section_start,section_end,keywords,sorting,created_at,updated_at
1,1,1,,,,,,,"2015-08-05 15:56:30","2015-11-23 09:38:54"
4,1,,,,,,,,"2015-08-05 15:56:30","2015-11-23 09:38:54"
5,2,2,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
6,2,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
7,2,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
12,3,3,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
13,3,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
14,3,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
18,4,4,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
19,4,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
20,4,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
23,5,5,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
24,5,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
25,5,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
28,6,6,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
29,6,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
30,6,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
33,7,7,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
34,7,8,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
35,7,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
36,7,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
39,8,9,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
40,8,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
41,8,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
44,9,10,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
45,9,11,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
46,9,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
47,9,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
50,10,12,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
51,10,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
52,10,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
55,11,13,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
56,11,14,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
57,11,15,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
58,11,,122,,77500,77500,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
59,11,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
60,11,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
63,12,16,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
64,12,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
65,12,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
68,13,17,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
69,13,18,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
70,13,19,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
71,13,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
72,13,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
75,14,20,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
76,14,21,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
77,14,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
78,14,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
81,14,,71,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
82,15,22,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
83,15,23,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
84,15,24,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
85,15,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
86,15,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
89,15,,71,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
90,16,25,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
91,16,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
92,16,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
95,16,,71,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
96,17,26,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
97,17,27,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
98,17,28,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
99,17,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
100,17,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
103,17,,71,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
104,18,29,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
105,18,30,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
106,18,31,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
107,18,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
108,18,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
111,18,,71,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
112,19,32,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
113,19,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
114,19,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
117,19,,71,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
118,20,33,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
119,20,34,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
120,20,35,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
121,20,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
122,20,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
125,20,,71,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
126,21,36,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
127,21,37,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
128,21,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
129,21,,144,5,9000,315000,"SRD;Lékařské implantáty",,"2015-08-05 15:56:30","2015-08-05 15:56:30"
132,21,,71,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
133,22,38,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
134,22,39,,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
135,22,40,10,,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
136,22,,154,15,,,,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
